"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  1.04.212",38,1.4188,0.3527,9.6,4.02,0.6283,2.2094,0.0026,"PI.413153"
"IsolateID  1.04.252",39,2.4298,0.3524,9.5,6.9,1.6396,3.2201,1e-04,"PI.413153"
"IsolateID  1.05.112",40,2.5452,0.3523,9.5,7.22,1.7551,3.3354,0,"PI.413153"
"IsolateID  1.05.142",41,2.5554,0.3525,9.6,7.25,1.765,3.3458,0,"PI.413153"
"IsolateID  1.05.172",42,1.7496,0.3525,9.6,4.96,0.9592,2.54,6e-04,"PI.413153"
"IsolateID  1.05.222",43,2.0947,0.3523,9.5,5.95,1.3046,2.8849,2e-04,"PI.413153"
"IsolateID  1.05.242",44,2.0233,0.3526,9.6,5.74,1.2328,2.8137,2e-04,"PI.413153"
"IsolateID  2.04.032",45,2.9117,0.3526,9.6,8.26,2.1212,3.7022,0,"PI.413153"
"IsolateID  2.04.042",46,2.9475,0.3758,12.3,7.84,2.1309,3.764,0,"PI.413153"
"IsolateID  2.04.082",47,2.959,0.3523,9.5,8.4,2.1688,3.7491,0,"PI.413153"
"IsolateID  2.04.092",48,3.209,0.3523,9.5,9.11,2.4188,3.9992,0,"PI.413153"
"IsolateID  2.04.112",49,3.0754,0.3524,9.5,8.73,2.2851,3.8656,0,"PI.413153"
"IsolateID  2.04.122",50,2.3146,0.3524,9.6,6.57,1.5243,3.1049,1e-04,"PI.413153"
"IsolateID  2.04.142",51,2.8467,0.3526,9.6,8.07,2.0563,3.6372,0,"PI.413153"
"IsolateID  2.04.172",52,2.9106,0.3522,9.5,8.26,2.1205,3.7007,0,"PI.413153"
"IsolateID  2.04.182",53,3.2286,0.3524,9.5,9.16,2.4383,4.0188,0,"PI.413153"
"IsolateID  2.04.202",54,3.065,0.376,12.3,8.15,2.2481,3.8818,0,"PI.413153"
"IsolateID  2.04.212",55,2.8128,0.3527,9.6,7.98,2.0223,3.6033,0,"PI.413153"
"IsolateID  20042",56,2.1726,0.3525,9.6,6.16,1.3822,2.9629,1e-04,"PI.413153"
"IsolateID  94.12",57,3.3587,0.3523,9.5,9.53,2.5685,4.1488,0,"PI.413153"
"IsolateID  94.42",58,1.6847,0.3524,9.6,4.78,0.8945,2.475,8e-04,"PI.413153"
"IsolateID  Acacia2",59,1.8744,0.3525,9.6,5.32,1.0841,2.6647,4e-04,"PI.413153"
"IsolateID  Apple4042",60,1.6324,0.3523,9.5,4.63,0.8423,2.4226,0.0011,"PI.413153"
"IsolateID  Apple5172",61,2.6191,0.3524,9.5,7.43,1.8288,3.4093,0,"PI.413153"
"IsolateID  Ausubel2",62,1.9385,0.3522,9.5,5.5,1.1485,2.7286,3e-04,"PI.413153"
"IsolateID  B05.102",63,0.5751,0.3524,9.6,1.63,-0.2152,1.3654,0.1352,"PI.413153"
"IsolateID  BMM2",64,2.4857,0.3524,9.5,7.05,1.6954,3.2759,0,"PI.413153"
"IsolateID  BPA12",65,3.3931,0.3524,9.5,9.63,2.6028,4.1833,0,"PI.413153"
"IsolateID  DavisNavel2",66,0.4587,0.3525,9.6,1.3,-0.3316,1.249,0.2236,"PI.413153"
"IsolateID  EsparatoFresa2",67,1.009,0.3527,9.6,2.86,0.2184,1.7995,0.0176,"PI.413153"
"IsolateID  Fd12",68,2.8033,0.376,12.3,7.46,1.9864,3.6202,0,"PI.413153"
"IsolateID  Fd22",69,2.4001,0.3526,9.6,6.81,1.6097,3.1906,1e-04,"PI.413153"
"IsolateID  Fresa5252",70,3.1245,0.3762,12.3,8.31,2.3074,3.9417,0,"PI.413153"
"IsolateID  FresaSD2",71,1.8012,0.376,12.3,4.79,0.9843,2.6181,4e-04,"PI.413153"
"IsolateID  Gallo12",72,0.7443,0.3524,9.5,2.11,-0.0459,1.5346,0.0621,"PI.413153"
"IsolateID  Gallo22",73,2.7686,0.3524,9.5,7.86,1.9784,3.5589,0,"PI.413153"
"IsolateID  Geranium2",74,0.7043,0.376,12.3,1.87,-0.1126,1.5213,0.085,"PI.413153"
"IsolateID  Grape2",75,1.4348,0.3526,9.6,4.07,0.6444,2.2253,0.0025,"PI.413153"
"IsolateID  KatieTomato2",76,2.7793,0.3526,9.6,7.88,1.9889,3.5698,0,"PI.413153"
"IsolateID  KernA22",77,2.3108,0.3763,12.4,6.14,1.4936,3.128,0,"PI.413153"
"IsolateID  KernB12",78,2.969,0.3523,9.5,8.43,2.1788,3.7591,0,"PI.413153"
"IsolateID  KernB22",79,2.1199,0.3523,9.5,6.02,1.3297,2.9101,2e-04,"PI.413153"
"IsolateID  KGB22",80,2.3873,0.3523,9.5,6.78,1.5972,3.1774,1e-04,"PI.413153"
"IsolateID  MEAP6G2",81,2.3984,0.3522,9.5,6.81,1.6083,3.1884,1e-04,"PI.413153"
"IsolateID  Mex032",82,1.721,0.3525,9.6,4.88,0.9306,2.5113,7e-04,"PI.413153"
"IsolateID  Molly2",83,2.904,0.3523,9.5,8.24,2.1138,3.6941,0,"PI.413153"
"IsolateID  Navel2",84,2.1674,0.3763,12.4,5.76,1.3501,2.9847,1e-04,"PI.413153"
"IsolateID  NobleRot2",85,0.5952,0.3523,9.5,1.69,-0.1949,1.3854,0.1234,"PI.413153"
"IsolateID  Peachy2",86,2.985,0.3523,9.5,8.47,2.1949,3.7752,0,"PI.413153"
"IsolateID  Pepper2",87,2.4351,0.3524,9.6,6.91,1.6448,3.2254,1e-04,"PI.413153"
"IsolateID  PepperSub2",88,1.5859,0.3523,9.5,4.5,0.7957,2.3761,0.0013,"PI.413153"
"IsolateID  PhiloMenlo2",89,2.4466,0.353,9.6,6.93,1.6558,3.2375,0,"PI.413153"
"IsolateID  Rasp2",90,2.7978,0.3524,9.5,7.94,2.0076,3.588,0,"PI.413153"
"IsolateID  Rose2",91,1.3379,0.3524,9.6,3.8,0.5476,2.1282,0.0038,"PI.413153"
"IsolateID  Supersteak2",92,2.2172,0.3525,9.6,6.29,1.4268,3.0076,1e-04,"PI.413153"
"IsolateID  Triple32",93,2.7343,0.3526,9.6,7.75,1.9438,3.5248,0,"PI.413153"
"IsolateID  Triple72",94,0.6422,0.3525,9.6,1.82,-0.1481,1.4325,0.0998,"PI.413153"
"IsolateID  UKRazz2",95,3.2377,0.3525,9.6,9.18,2.4474,4.0281,0,"PI.413153"
"IsolateID  1.01.013",1,1.7917,0.4131,9.4,4.34,0.8638,2.7197,0.0017,"PI.413153"
"IsolateID  1.01.023",2,1.9264,0.4132,9.4,4.66,0.9984,2.8545,0.001,"PI.413153"
"IsolateID  1.01.033",3,2.1152,0.4136,9.5,5.11,1.1869,3.0436,5e-04,"PI.413153"
"IsolateID  1.01.043",4,1.257,0.4135,9.5,3.04,0.3287,2.1853,0.0132,"PI.413153"
"IsolateID  1.01.063",5,2.0043,0.4133,9.5,4.85,1.0762,2.9324,8e-04,"PI.413153"
"IsolateID  1.01.153",6,1.7774,0.4135,9.5,4.3,0.8491,2.7057,0.0018,"PI.413153"
"IsolateID  1.02.013",7,1.6976,0.4132,9.4,4.11,0.7696,2.6256,0.0024,"PI.413153"
"IsolateID  1.02.023",8,1.6472,0.4132,9.5,3.99,0.7191,2.5752,0.0029,"PI.413153"
"IsolateID  1.02.033",9,1.6064,0.4133,9.5,3.89,0.6783,2.5345,0.0034,"PI.413153"
"IsolateID  1.02.043",10,2.2531,0.4134,9.5,5.45,1.3249,3.1813,3e-04,"PI.413153"
"IsolateID  1.02.053",11,1.9939,0.4132,9.5,4.82,1.0658,2.9219,8e-04,"PI.413153"
"IsolateID  1.02.063",12,2.1219,0.4134,9.5,5.13,1.1937,3.0502,5e-04,"PI.413153"
"IsolateID  1.02.133",13,0.517,0.4134,9.5,1.25,-0.4113,1.4452,0.2411,"PI.413153"
"IsolateID  1.02.153",14,2.04,0.4134,9.5,4.94,1.1118,2.9682,7e-04,"PI.413153"
"IsolateID  1.02.163",15,1.3035,0.4133,9.5,3.15,0.3753,2.2316,0.011,"PI.413153"
"IsolateID  1.02.173",16,1.998,0.4135,9.5,4.83,1.0697,2.9263,8e-04,"PI.413153"
"IsolateID  1.02.183",17,0.0391,0.4134,9.5,0.09,-0.8891,0.9673,0.9266,"PI.413153"
"IsolateID  1.02.203",18,1.6852,0.4133,9.5,4.08,0.7572,2.6133,0.0025,"PI.413153"
"IsolateID  1.03.023",19,1.9157,0.4134,9.5,4.63,0.9875,2.8439,0.0011,"PI.413153"
"IsolateID  1.03.043",20,1.9051,0.4132,9.5,4.61,0.977,2.8331,0.0011,"PI.413153"
"IsolateID  1.03.123",21,1.234,0.4133,9.5,2.99,0.3059,2.1622,0.0145,"PI.413153"
"IsolateID  1.03.163",22,1.3839,0.4134,9.5,3.35,0.4557,2.3122,0.008,"PI.413153"
"IsolateID  1.03.183",23,1.8101,0.4132,9.4,4.38,0.8821,2.7381,0.0016,"PI.413153"
"IsolateID  1.03.193",24,1.4697,0.4133,9.5,3.56,0.5415,2.3978,0.0057,"PI.413153"
"IsolateID  1.03.203",25,0.2217,0.4134,9.5,0.54,-0.7065,1.15,0.6041,"PI.413153"
"IsolateID  1.03.223",26,1.4774,0.4132,9.4,3.58,0.5493,2.4054,0.0055,"PI.413153"
"IsolateID  1.03.233",27,2.2465,0.4132,9.4,5.44,1.3184,3.1745,3e-04,"PI.413153"
"IsolateID  1.04.013",28,1.3485,0.4135,9.5,3.26,0.4202,2.2768,0.0092,"PI.413153"
"IsolateID  1.04.023",29,0.8783,0.4132,9.4,2.13,-0.0497,1.8063,0.061,"PI.413153"
"IsolateID  1.04.033",30,2.2198,0.4133,9.5,5.37,1.2917,3.1478,4e-04,"PI.413153"
"IsolateID  1.04.043",31,2.304,0.4132,9.4,5.58,1.376,3.2321,3e-04,"PI.413153"
"IsolateID  1.04.053",32,1.7,0.4133,9.5,4.11,0.7718,2.6281,0.0024,"PI.413153"
"IsolateID  1.04.123",33,1.9427,0.4132,9.4,4.7,1.0147,2.8707,0.001,"PI.413153"
"IsolateID  1.04.153",34,1.3818,0.4133,9.5,3.34,0.4536,2.3099,0.008,"PI.413153"
"IsolateID  1.04.173",35,2.1797,0.4133,9.5,5.27,1.2516,3.1079,4e-04,"PI.413153"
"IsolateID  1.04.193",36,1.7777,0.4135,9.5,4.3,0.8494,2.7061,0.0018,"PI.413153"
"IsolateID  1.04.203",37,1.486,0.4135,9.5,3.59,0.5577,2.4144,0.0053,"PI.413153"
"IsolateID  1.04.213",38,1.2966,0.4135,9.5,3.14,0.3683,2.2249,0.0113,"PI.413153"
"IsolateID  1.04.253",39,2.0362,0.4133,9.5,4.93,1.1081,2.9644,7e-04,"PI.413153"
"IsolateID  1.05.113",40,1.467,0.4132,9.4,3.55,0.5389,2.3951,0.0058,"PI.413153"
"IsolateID  1.05.143",41,1.8234,0.4134,9.5,4.41,0.8952,2.7517,0.0015,"PI.413153"
"IsolateID  1.05.173",42,1.1235,0.4134,9.5,2.72,0.1952,2.0517,0.0227,"PI.413153"
"IsolateID  1.05.223",43,1.4645,0.4132,9.4,3.54,0.5364,2.3925,0.0058,"PI.413153"
"IsolateID  1.05.243",44,1.6767,0.4134,9.5,4.06,0.7485,2.6049,0.0026,"PI.413153"
"IsolateID  2.04.033",45,3.3476,0.4134,9.5,8.1,2.4193,4.2758,0,"PI.413153"
"IsolateID  2.04.043",46,2.4571,0.4131,9.4,5.95,1.5291,3.3851,2e-04,"PI.413153"
"IsolateID  2.04.083",47,2.2366,0.4132,9.4,5.41,1.3086,3.1647,4e-04,"PI.413153"
"IsolateID  2.04.093",48,2.2352,0.4132,9.4,5.41,1.3072,3.1633,4e-04,"PI.413153"
"IsolateID  2.04.113",49,1.9774,0.4132,9.4,4.79,1.0494,2.9054,9e-04,"PI.413153"
"IsolateID  2.04.123",50,2.0122,0.4133,9.5,4.87,1.0841,2.9404,8e-04,"PI.413153"
"IsolateID  2.04.143",51,2.6173,0.4135,9.5,6.33,1.689,3.5455,1e-04,"PI.413153"
"IsolateID  2.04.173",52,2.4324,0.413,9.4,5.89,1.5045,3.3602,2e-04,"PI.413153"
"IsolateID  2.04.183",53,2.3957,0.4133,9.5,5.8,1.4676,3.3237,2e-04,"PI.413153"
"IsolateID  2.04.203",54,2.0401,0.4133,9.5,4.94,1.112,2.9682,7e-04,"PI.413153"
"IsolateID  2.04.213",55,1.6161,0.4135,9.5,3.91,0.6878,2.5443,0.0032,"PI.413153"
"IsolateID  20043",56,1.5736,0.4134,9.5,3.81,0.6454,2.5018,0.0038,"PI.413153"
"IsolateID  94.13",57,1.9885,0.4132,9.4,4.81,1.0604,2.9165,8e-04,"PI.413153"
"IsolateID  94.43",58,0.7358,0.4133,9.5,1.78,-0.1923,1.664,0.1071,"PI.413153"
"IsolateID  Acacia3",59,1.6451,0.4134,9.5,3.98,0.7169,2.5734,0.0029,"PI.413153"
"IsolateID  Apple4043",60,2.3346,0.4131,9.4,5.65,1.4066,3.2625,3e-04,"PI.413153"
"IsolateID  Apple5173",61,1.7209,0.4133,9.5,4.16,0.7928,2.649,0.0022,"PI.413153"
"IsolateID  Ausubel3",62,1.7671,0.4131,9.4,4.28,0.8391,2.695,0.0018,"PI.413153"
"IsolateID  B05.103",63,0.588,0.4132,9.5,1.42,-0.34,1.5161,0.1869,"PI.413153"
"IsolateID  BMM3",64,2.0628,0.4132,9.5,4.99,1.1347,2.9909,6e-04,"PI.413153"
"IsolateID  BPA13",65,2.3677,0.4133,9.5,5.73,1.4395,3.2958,2e-04,"PI.413153"
"IsolateID  DavisNavel3",66,0.1605,0.4134,9.5,0.39,-0.7677,1.0887,0.7065,"PI.413153"
"IsolateID  EsparatoFresa3",67,1.1172,0.4135,9.5,2.7,0.1889,2.0455,0.0233,"PI.413153"
"IsolateID  Fd13",68,1.947,0.4132,9.5,4.71,1.0189,2.875,0.001,"PI.413153"
"IsolateID  Fd23",69,1.8221,0.4136,9.5,4.41,0.8937,2.7505,0.0015,"PI.413153"
"IsolateID  Fresa5253",70,2.1601,0.4135,9.5,5.22,1.2319,3.0884,5e-04,"PI.413153"
"IsolateID  FresaSD3",71,1.3605,0.4133,9.5,3.29,0.4323,2.2886,0.0088,"PI.413153"
"IsolateID  Gallo13",72,1.1365,0.4133,9.5,2.75,0.2085,2.0646,0.0215,"PI.413153"
"IsolateID  Gallo23",73,2.2276,0.4133,9.5,5.39,1.2995,3.1557,4e-04,"PI.413153"
"IsolateID  Geranium3",74,0.6391,0.4132,9.5,1.55,-0.289,1.5672,0.1548,"PI.413153"
"IsolateID  Grape3",75,1.3787,0.4136,9.5,3.33,0.4503,2.307,0.0081,"PI.413153"
"IsolateID  KatieTomato3",76,2.0988,0.4135,9.5,5.08,1.1706,3.0271,6e-04,"PI.413153"
"IsolateID  KernA23",77,1.5737,0.4136,9.5,3.8,0.6452,2.5021,0.0038,"PI.413153"
"IsolateID  KernB13",78,1.9259,0.4132,9.4,4.66,0.9978,2.8539,0.001,"PI.413153"
"IsolateID  KernB23",79,1.7956,0.4132,9.5,4.35,0.8676,2.7236,0.0017,"PI.413153"
"IsolateID  KGB23",80,2.2586,0.4132,9.4,5.47,1.3306,3.1867,3e-04,"PI.413153"
"IsolateID  MEAP6G3",81,1.6949,0.4131,9.4,4.1,0.767,2.6229,0.0024,"PI.413153"
"IsolateID  Mex033",82,1.5659,0.4134,9.5,3.79,0.6377,2.4942,0.0039,"PI.413153"
"IsolateID  Molly3",83,2.7193,0.4132,9.5,6.58,1.7912,3.6473,1e-04,"PI.413153"
"IsolateID  Navel3",84,2.1019,0.4135,9.5,5.08,1.1736,3.0301,6e-04,"PI.413153"
"IsolateID  NobleRot3",85,0.7272,0.4131,9.4,1.76,-0.2007,1.6552,0.1106,"PI.413153"
"IsolateID  Peachy3",86,2.2739,0.4132,9.4,5.5,1.3459,3.2019,3e-04,"PI.413153"
"IsolateID  Pepper3",87,1.8576,0.4133,9.5,4.49,0.9295,2.7857,0.0013,"PI.413153"
"IsolateID  PepperSub3",88,1.7608,0.4132,9.4,4.26,0.8328,2.6888,0.0019,"PI.413153"
"IsolateID  PhiloMenlo3",89,1.4872,0.4138,9.5,3.59,0.5586,2.4158,0.0053,"PI.413153"
"IsolateID  Rasp3",90,2.4718,0.4132,9.4,5.98,1.5438,3.3998,2e-04,"PI.413153"
"IsolateID  Rose3",91,0.9701,0.4133,9.5,2.35,0.042,1.8982,0.0422,"PI.413153"
"IsolateID  Supersteak3",92,2.3705,0.4134,9.5,5.73,1.4423,3.2987,2e-04,"PI.413153"
"IsolateID  Triple33",93,2.319,0.4135,9.5,5.61,1.3907,3.2474,3e-04,"PI.413153"
"IsolateID  Triple73",94,0.1982,0.4133,9.5,0.48,-0.7299,1.1264,0.6424,"PI.413153"
"IsolateID  UKRazz3",95,2.6892,0.4134,9.5,6.51,1.761,3.6174,1e-04,"PI.413153"
"IsolateID  1.01.014",1,3.107,0.4986,6.6,6.23,1.9133,4.3007,5e-04,"PI.413153"
"IsolateID  1.01.024",2,2.5388,0.4988,6.6,5.09,1.3451,3.7326,0.0017,"PI.413153"
"IsolateID  1.01.034",3,2.772,0.4992,6.6,5.55,1.5781,3.9659,0.001,"PI.413153"
"IsolateID  1.01.044",4,2.6506,0.4992,6.6,5.31,1.4567,3.8444,0.0013,"PI.413153"
"IsolateID  1.01.064",5,2.4112,0.5252,8.1,4.59,1.203,3.6195,0.0017,"PI.413153"
"IsolateID  1.01.154",6,1.986,0.5255,8.1,3.78,0.7775,3.1945,0.0052,"PI.413153"
"IsolateID  1.02.014",7,2.1153,0.4987,6.6,4.24,0.9216,3.309,0.0044,"PI.413153"
"IsolateID  1.02.024",8,2.1526,0.4988,6.6,4.32,0.9588,3.3463,0.004,"PI.413153"
"IsolateID  1.02.034",9,1.7514,0.4988,6.6,3.51,0.5577,2.9452,0.0108,"PI.413153"
"IsolateID  1.02.044",10,2.2321,0.4991,6.6,4.47,1.0382,3.4259,0.0033,"PI.413153"
"IsolateID  1.02.054",11,2.2304,0.4988,6.6,4.47,1.0366,3.4241,0.0033,"PI.413153"
"IsolateID  1.02.064",12,2.9915,0.4992,6.6,5.99,1.7976,4.1854,7e-04,"PI.413153"
"IsolateID  1.02.134",13,1.5526,0.5253,8.1,2.96,0.3442,2.761,0.018,"PI.413153"
"IsolateID  1.02.154",14,2.5329,0.499,6.6,5.08,1.3391,3.7267,0.0017,"PI.413153"
"IsolateID  1.02.164",15,1.2154,0.4989,6.6,2.44,0.0216,2.4092,0.047,"PI.413153"
"IsolateID  1.02.174",16,2.0876,0.4991,6.6,4.18,0.8937,3.2815,0.0047,"PI.413153"
"IsolateID  1.02.184",17,-0.0961,0.4991,6.6,-0.19,-1.29,1.0978,0.8531,"PI.413153"
"IsolateID  1.02.204",18,1.9074,0.5251,8.1,3.63,0.6991,3.1156,0.0065,"PI.413153"
"IsolateID  1.03.024",19,2.1055,0.4989,6.6,4.22,0.9117,3.2993,0.0045,"PI.413153"
"IsolateID  1.03.044",20,2.4509,0.4988,6.6,4.91,1.2571,3.6446,0.002,"PI.413153"
"IsolateID  1.03.124",21,1.5945,0.4989,6.6,3.2,0.4007,2.7883,0.0164,"PI.413153"
"IsolateID  1.03.164",22,3.0661,0.4991,6.6,6.14,1.8723,4.26,6e-04,"PI.413153"
"IsolateID  1.03.184",23,2.3704,0.4987,6.6,4.75,1.1767,3.5641,0.0024,"PI.413153"
"IsolateID  1.03.194",24,2.1782,0.4988,6.6,4.37,0.9844,3.372,0.0038,"PI.413153"
"IsolateID  1.03.204",25,0.1904,0.4992,6.6,0.38,-1.0035,1.3843,0.7148,"PI.413153"
"IsolateID  1.03.224",26,2.0761,0.4989,6.6,4.16,0.8823,3.2698,0.0048,"PI.413153"
"IsolateID  1.03.234",27,2.5374,0.4988,6.6,5.09,1.3436,3.7311,0.0017,"PI.413153"
"IsolateID  1.04.014",28,2.9216,0.4991,6.6,5.85,1.7277,4.1155,8e-04,"PI.413153"
"IsolateID  1.04.024",29,1.1108,0.4988,6.6,2.23,-0.083,2.3045,0.0635,"PI.413153"
"IsolateID  1.04.034",30,2.4263,0.4988,6.6,4.86,1.2326,3.62,0.0021,"PI.413153"
"IsolateID  1.04.044",31,2.3305,0.4986,6.6,4.67,1.1368,3.5242,0.0027,"PI.413153"
"IsolateID  1.04.054",32,2.4122,0.4989,6.6,4.83,1.2184,3.606,0.0022,"PI.413153"
"IsolateID  1.04.124",33,1.7195,0.5251,8.1,3.27,0.5113,2.9278,0.0111,"PI.413153"
"IsolateID  1.04.154",34,1.2791,0.4989,6.6,2.56,0.0853,2.4729,0.0392,"PI.413153"
"IsolateID  1.04.174",35,1.7945,0.5253,8.1,3.42,0.5861,3.0029,0.0089,"PI.413153"
"IsolateID  1.04.194",36,2.3834,0.4991,6.6,4.77,1.1895,3.5772,0.0024,"PI.413153"
"IsolateID  1.04.204",37,1.8914,0.4994,6.6,3.79,0.6975,3.0854,0.0075,"PI.413153"
"IsolateID  1.04.214",38,1.6118,0.4994,6.6,3.23,0.4178,2.8057,0.0156,"PI.413153"
"IsolateID  1.04.254",39,2.0886,0.4989,6.6,4.19,0.8948,3.2825,0.0047,"PI.413153"
"IsolateID  1.05.114",40,1.949,0.4988,6.6,3.91,0.7553,3.1428,0.0065,"PI.413153"
"IsolateID  1.05.144",41,3.171,0.4992,6.6,6.35,1.9771,4.3649,5e-04,"PI.413153"
"IsolateID  1.05.174",42,1.6384,0.4991,6.6,3.28,0.4446,2.8323,0.0145,"PI.413153"
"IsolateID  1.05.224",43,2.3655,0.4988,6.6,4.74,1.1717,3.5592,0.0025,"PI.413153"
"IsolateID  1.05.244",44,2.5904,0.4991,6.6,5.19,1.3966,3.7842,0.0015,"PI.413153"
"IsolateID  2.04.034",45,2.249,0.4992,6.6,4.5,1.0551,3.4429,0.0032,"PI.413153"
"IsolateID  2.04.044",46,2.5149,0.5249,8.1,4.79,1.3068,3.723,0.0013,"PI.413153"
"IsolateID  2.04.084",47,2.7206,0.4987,6.6,5.46,1.5269,3.9143,0.0012,"PI.413153"
"IsolateID  2.04.094",48,2.696,0.4988,6.6,5.4,1.5022,3.8897,0.0012,"PI.413153"
"IsolateID  2.04.114",49,2.26,0.4988,6.6,4.53,1.0663,3.4538,0.0031,"PI.413153"
"IsolateID  2.04.124",50,2.7832,0.499,6.6,5.58,1.5894,3.977,0.001,"PI.413153"
"IsolateID  2.04.144",51,2.4159,0.4992,6.6,4.84,1.222,3.6098,0.0022,"PI.413153"
"IsolateID  2.04.174",52,2.2857,0.4986,6.6,4.58,1.092,3.4793,0.0029,"PI.413153"
"IsolateID  2.04.184",53,2.1465,0.4988,6.6,4.3,0.9527,3.3402,0.0041,"PI.413153"
"IsolateID  2.04.204",54,2.0944,0.5252,8.1,3.99,0.886,3.3027,0.0039,"PI.413153"
"IsolateID  2.04.214",55,2.056,0.4993,6.6,4.12,0.8621,3.2499,0.005,"PI.413153"
"IsolateID  20044",56,2.2432,0.4991,6.6,4.49,1.0494,3.437,0.0032,"PI.413153"
"IsolateID  94.14",57,2.6088,0.4988,6.6,5.23,1.415,3.8026,0.0015,"PI.413153"
"IsolateID  94.44",58,1.3713,0.4989,6.6,2.75,0.1775,2.5651,0.0302,"PI.413153"
"IsolateID  Acacia4",59,1.9689,0.499,6.6,3.95,0.7751,3.1628,0.0062,"PI.413153"
"IsolateID  Apple4044",60,2.9831,0.4988,6.6,5.98,1.7894,4.1769,7e-04,"PI.413153"
"IsolateID  Apple5174",61,2.417,0.4988,6.6,4.85,1.2232,3.6107,0.0022,"PI.413153"
"IsolateID  Ausubel4",62,2.502,0.4986,6.6,5.02,1.3083,3.6957,0.0018,"PI.413153"
"IsolateID  B05.104",63,0.7815,0.4989,6.6,1.57,-0.4123,1.9752,0.1637,"PI.413153"
"IsolateID  BMM4",64,1.9329,0.4989,6.6,3.87,0.7391,3.1266,0.0068,"PI.413153"
"IsolateID  BPA14",65,3.0684,0.499,6.6,6.15,1.8745,4.2622,6e-04,"PI.413153"
"IsolateID  DavisNavel4",66,0.3594,0.499,6.6,0.72,-0.8344,1.5533,0.496,"PI.413153"
"IsolateID  EsparatoFresa4",67,0.7052,0.4992,6.6,1.41,-0.4886,1.8991,0.2029,"PI.413153"
"IsolateID  Fd14",68,3.5965,0.5252,8.1,6.85,2.3882,4.8048,1e-04,"PI.413153"
"IsolateID  Fd24",69,2.9432,0.4994,6.6,5.89,1.7492,4.1372,7e-04,"PI.413153"
"IsolateID  Fresa5254",70,2.8267,0.5255,8.1,5.38,1.6182,4.0353,6e-04,"PI.413153"
"IsolateID  FresaSD4",71,1.9646,0.5252,8.1,3.74,0.7562,3.1729,0.0056,"PI.413153"
"IsolateID  Gallo14",72,0.9806,0.4988,6.6,1.97,-0.2131,2.1744,0.0925,"PI.413153"
"IsolateID  Gallo24",73,2.3366,0.4989,6.6,4.68,1.1428,3.5304,0.0026,"PI.413153"
"IsolateID  Geranium4",74,1.0157,0.5253,8.1,1.93,-0.1927,2.2241,0.0887,"PI.413153"
"IsolateID  Grape4",75,1.3897,0.4993,6.6,2.78,0.1958,2.5837,0.0287,"PI.413153"
"IsolateID  KatieTomato4",76,2.128,0.4992,6.6,4.26,0.9341,3.3219,0.0042,"PI.413153"
